Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Famous stores Gajapura 2/3, Rajasthan",24.8016417,72.457835,Wholesaler,5,3,"Gajapura 2/3, Rajasthan",099748 13077,
"Rajasthan Sweets Jodhpur, Rajasthan",26.3205678,73.0447666,Sweet shop,4,1200,"Jodhpur, Rajasthan",,
"RKay Mall Udaipur, Rajasthan",24.596985,73.690501,Shopping mall,3.7,3500,"Udaipur, Rajasthan",094140 91836,
"PANWAR MARKET Ajmer, Rajasthan",26.3981875,74.6531875,Clothing store,4.8,18,"Ajmer, Rajasthan",098877 38034,In-store shopping
"Mahalaxmi - Sweets & Namkeen Kishangarh, Rajasthan",26.5886657,74.8605394,Sweet shop,4.4,74,"Kishangarh, Rajasthan",094143 14138,Delivery
"Murli Misthan Bhandar - Best Sweet & Namkeen Shop Salasar, Rajasthan",27.725734,74.724173,Sweet shop,4.4,36,"Salasar, Rajasthan",098289 80002,"In-store shopping,Delivery"
"New Jodhpur Sweets and Namkeens Bar, Rajasthan",26.0761646,74.1002267,Sweet shop,4.4,6900,"Bar, Rajasthan",086906 12206,
"Ganesh Handicrafts Jodhpur, Rajasthan",26.2934624,73.0242757,Handicrafts Wholesaler,4.9,1200,"Jodhpur, Rajasthan",093147 13880,On-site services
"Shri Rajasthan Sweets & Namkeen Ajmer, Rajasthan",26.4540579,74.6318707,Sweet shop,3.9,324,"Ajmer, Rajasthan",080 4369 3745,"In-store pick-up,Delivery"
"Seth Sanwariya Famous Food Store Jodhpur, Rajasthan",26.2741331,73.0307413,Department store,4.4,9,"Jodhpur, Rajasthan",,"In-store shopping,In-store pick-up"
"Urban Square Mall Sukher, Rajasthan",24.6320909,73.7126013,Shopping mall,4.3,1800,"Sukher, Rajasthan",097733 89669,In-store shopping
"S.J SPORTS - Famous Sports Goods Accessories & Sports Goods & Wear In Jaipur Jaipur, Rajasthan",26.8976828,75.8247331,Sporting goods store,4.4,44,"Jaipur, Rajasthan",078771 85688,"In-store shopping,Delivery"
"Blue bohemian Jodhpur, Rajasthan",26.2954255,73.0232195,Clothing store,4.1,43,"Jodhpur, Rajasthan",,
"Fair trade shop Sattarcashmere Jaisalmer, Rajasthan",26.9124363,70.9141319,Shopping mall,5,34,"Jaisalmer, Rajasthan",070145 95919,In-store shopping
"Muskan Faincy & Gift Store Kirdoli, Rajasthan",27.6666067,75.0637714,Gift shop,4.4,23,"Kirdoli, Rajasthan",098286 31849,In-store shopping
"JODHPUR MARKET Jodhpur, Rajasthan",26.2854323,73.0203995,Market,4.4,187,"Jodhpur, Rajasthan",,
"Chawannilal Halwai Nasirabad Kachora, Sweets and Namkeen Nasirabad, Rajasthan",26.2965014,74.7343576,Sweet shop,4.4,2500,"Nasirabad, Rajasthan",094143 78924,
"Rajasthan Readymade Centre Udaipur, Rajasthan",24.583954,73.6961918,Clothing store,4.4,17,"Udaipur, Rajasthan",092522 71312,Delivery
BB-AJMER-PANCHSHEEL NAGAR-CITY SQUARE MALL Rajasthan,26.5148202,74.6337188,Supermarket,4.1,1900,Rajasthan,,"In-store shopping,In-store pick-up"
"Student Shop Jodhpur, Rajasthan",26.2956969,73.0232694,Clothing store,3.6,27,"Jodhpur, Rajasthan",099280 23176,Delivery
"Paharia Sweets & Namkeen Kishangarh, Rajasthan",26.5880807,74.8571863,Indian sweets shop,4.2,4700,"Kishangarh, Rajasthan",088903 88888,"Dine-in,Takeaway"
"Vega Mall Ajmer, Rajasthan",26.4653721,74.637619,Shopping mall,3.8,4500,"Ajmer, Rajasthan",095710 20333,
"Mahesh Misthan Bhandar Ajmer, Rajasthan",26.451807,74.637526,Indian sweets shop,4.2,408,"Ajmer, Rajasthan",098292 70696,
"Gujrat sweet Mart Ajmer Ajmer, Rajasthan",26.4571741,74.6283321,Sweet shop,4,167,"Ajmer, Rajasthan",,
"FAMOUS JANRAL STORE NANA Nana, Rajasthan",24.9215865,73.137351,Shopping mall,3,3,"Nana, Rajasthan",077260 46606,
"Chetan Prakash Mithai Bhandar - Best Namkeen Shop, Sweet & Namkeen Shop, Pure Ghee, Milk, Sweets, Bengali Sweets Nagaur, Rajasthan",27.2033711,73.7241273,Sweet shop,4.1,15,"Nagaur, Rajasthan",,"In-store shopping,Delivery"
"Famous Laddu, peda parsad shop Chirawa Wala Sanjiv Misthan Bhandar Rajasthan,prop. Sanjay Kumar Chirawa Wale Salasar, Gudabari, Rajasthan",27.7257504,74.7238081,Sweet shop,5,2,"Salasar, Gudabari, Rajasthan",,
"Rajasthani Bazar Jodhpur, Rajasthan",26.2749922,73.0103418,Clothing store,5,2,"Jodhpur, Rajasthan",086192 44040,"In-store shopping,Kerbside pickup"
"Khatri Tilpatti Bhandhar Private Limited Beawar, Rajasthan",26.1046867,74.322552,Sweet shop,4.1,136,"Beawar, Rajasthan",094140 10485,Delivery
"Rajasthani Store Kumbhalgarh Kumbhalgarh, Rajasthan",25.1320699,73.5845476,Shopping mall,5,11,"Kumbhalgarh, Rajasthan",089496 32100,
"Laduram Halwai Sikar, Rajasthan",27.6111107,75.1387709,Indian sweets shop,4.4,385,"Sikar, Rajasthan",098298 77628,"In-store shopping,In-store pick-up"
"World Trade Park Jaipur, Rajasthan",26.853021,75.8046688,Shopping mall,4.6,85000,"Jaipur, Rajasthan",0141 272 8044,
"Miss Rajasthan Kota, Rajasthan",25.1730289,75.8498695,Dress store,4.1,74,"Kota, Rajasthan",0744 236 6101,"In-store shopping,Delivery"
"Mangilal's Ajmer, Rajasthan",26.4640766,74.63859,Clothing store,4,330,"Ajmer, Rajasthan",098295 80804,"In-store shopping,Delivery"
"Jaigopal Chhaganlal - Bakery & Sweet Shop Nagaur, Rajasthan",27.200537,73.7251637,Sweet shop,4.2,375,"Nagaur, Rajasthan",098285 31304,
"Chhotu Motu Joshi Bikaner, Rajasthan",28.0147293,73.3140874,Sweet shop,4.1,2500,"Bikaner, Rajasthan",093528 95336,
"RAJASTHAN MUSEUM Udaipur, Rajasthan",24.604475,73.6865341,Shopping mall,3.4,288,"Udaipur, Rajasthan",093525 00893,On-site services
"SURYANSH FAB Jaipur, Rajasthan",26.8403441,75.7934195,Fabric store,4.8,1100,"Jaipur, Rajasthan",099505 95990,"In-store shopping,Delivery"
"Motu Jalebi Wala Jodhpur, Rajasthan",26.2938732,73.0216782,Sweet shop,4.4,278,"Jodhpur, Rajasthan",099505 32560,"In-store pick-up,Delivery"
"RJ-36 TILPATTI & CAFE | GAJAK-TIL BARFI-REVDI | FAMOUS TILPATTI SHOP IN BEAWAR | Sarmaliya, Beawar, Rajasthan",26.1476614,74.3599605,Sweet shop,4,189,"Sarmaliya, Beawar, Rajasthan",092143 18174,Delivery
"JAIPUR FASHION Jaipur, Rajasthan",26.9124336,75.7872709,Women's clothing store,4.5,4,"Jaipur, Rajasthan",,"In-store shopping,Delivery"
"The Gem Palace Jaipur, Rajasthan",26.9168957,75.8130028,Jewelry store,4.4,176,"Jaipur, Rajasthan",0141 237 4175,"In-store shopping,In-store pick-up"
Hirapna Mithai Bhandar Rajasthan,27.1973143,73.7497609,Sweet shop,4,26,Rajasthan,090014 76654,"In-store shopping,Delivery"
"JODHA, Sweets•Namkeen •Bakery Ajmer, Rajasthan",26.4658308,74.6316467,Indian sweets shop,4.3,190,"Ajmer, Rajasthan",089491 81439,
"Bansal Mishthan Bhandar, BMB Beawar, Rajasthan",26.1010558,74.3191885,Indian sweets shop,4.3,111,"Beawar, Rajasthan",096641 27280,"In-store shopping,In-store pick-up"
"Lakshmi Mishthan Bhandar Makrana, Nagaur, Rajasthan",27.0376243,74.7286146,Sweet shop,4.1,194,"Makrana, Nagaur, Rajasthan",,
"Ramgopal Kailashchand Murarka Naraina, Rajasthan",26.7935225,75.2066297,Shopping mall,4.1,20,"Naraina, Rajasthan",098291 84284,In-store shopping
"Jodhana Sarees Jodhpur, Rajasthan",26.2783444,73.0125092,Women's clothing store,4.1,309,"Jodhpur, Rajasthan",0291 262 4551,"In-store pick-up,Delivery"
"Chhaganji Sweet Shop Nagaur Nagaur, Rajasthan",27.2003622,73.725151,Sweet shop,4.3,58,"Nagaur, Rajasthan",01582 246 145,
"Multiple Shop Dhanipura, Rajasthan",26.5761274,74.4850653,Shopping mall,5,1,"Dhanipura, Rajasthan",086903 79750,In-store shopping
"Satguru Store Ajmer, Rajasthan",26.4557533,74.6355357,Clothing store,4.5,174,"Ajmer, Rajasthan",084320 44444,
"Famous market Rajsamand, Rajasthan",25.0650235,73.8625506,Shopping mall,5,3,"Rajsamand, Rajasthan",,In-store shopping
"Cloth Market Jaipur, Rajasthan",26.919479,75.8121999,Clothes market,4.2,1000,"Jaipur, Rajasthan",,In-store shopping
"Shree Govind mukut mathura wala Khatoo, Rajasthan",27.365425,75.4032422,Clothing store,4.7,53,"Khatoo, Rajasthan",098283 34250,
"Sarwadia Mishthan Bhandar Pushkar, Rajasthan",26.4891472,74.5528833,Sweet shop,4.1,297,"Pushkar, Rajasthan",094146 67657,"In-store shopping,Delivery"
"Babu kasai (famous) Mutton shop Sikar, Rajasthan",27.6185553,75.1393707,Store,5,2,"Sikar, Rajasthan",,
"Shri Laxmi Sweets Ajmer, Rajasthan",26.460355,74.6307904,Indian sweets shop,4.4,530,"Ajmer, Rajasthan",0145 242 7386,"In-store pick-up,Delivery"
"Jai Jinendra Jeans Jodhpur, Rajasthan",26.2994215,73.0396726,Clothing store,4,648,"Jodhpur, Rajasthan",092527 05051,
"Bhadla Bazar-341301 Chua, Rajasthan",27.0456601,74.2496687,Market,4.1,44,"Chua, Rajasthan",,In-store shopping
"AKEE INTERNATIONAL Jaipur, Rajasthan",26.9801085,75.8716744,Clothing store,4.6,82,"Jaipur, Rajasthan",097727 77770,"In-store shopping,In-store pick-up"
"Durga Kirana Stores Pushkar, Rajasthan",26.497767,74.5444311,General store,4,26,"Pushkar, Rajasthan",077373 37550,"In-store shopping,Delivery"
"K K Collection Ajmer, Rajasthan",26.4538875,74.6323374,Clothing store,4.1,493,"Ajmer, Rajasthan",098299 19102,
"MAMA KI DUKAN Ajmer, Rajasthan",26.4632323,74.6130906,Grocery store,3.9,62,"Ajmer, Rajasthan",,
"Duda Ji ki dukan ( Sweet Shop ) Makrana, Rajasthan",27.0374318,74.7243043,Sweet shop,4.7,6,"Makrana, Rajasthan",,
"Ratlami Namkeen Bhandar Ajmer, Rajasthan",26.4603637,74.6299596,Food products supplier,4.4,209,"Ajmer, Rajasthan",085080 01003,"In-store shopping,In-store pick-up"
"Khatuwala Cloth Store Laxmangarh, Rajasthan",27.8230477,75.0269346,Dress store,3.9,53,"Laxmangarh, Rajasthan",,
"D Mart Ajmer, Rajasthan",26.5139028,74.6355448,Supermarket,4.3,6000,"Ajmer, Rajasthan",022 3340 0500,Delivery
"Baluji Namkeen Nakas, Rajasthan",27.2008328,73.7312651,Fast Food,4.5,282,"Nakas, Rajasthan",,
"Boutique Namaste India Udaipur, Rajasthan",24.5804165,73.6827779,Custom tailor,4.9,220,"Udaipur, Rajasthan",094612 60930,
"Rajasthan Watch Company Ajmer, Rajasthan",26.4574558,74.6345425,Watch store,3.8,49,"Ajmer, Rajasthan",099293 82135,"In-store shopping,Delivery"
"Azad Sweets Ajmer, Rajasthan",26.4565718,74.6360672,Sweet shop,3.9,225,"Ajmer, Rajasthan",098290 07674,
"Shree Jodhpur Sweets Ajmer, Rajasthan",26.460402,74.634743,Indian sweets shop,4.3,128,"Ajmer, Rajasthan",0145 243 1399,
"Thakur Tilpatti Beawar, Rajasthan",26.1007532,74.3190282,Sweet shop,4.6,21,"Beawar, Rajasthan",099298 32413,"In-store shopping,Delivery"
"Gift gallery thanwala Thanwala, Rajasthan",26.5581203,74.4649596,Gift shop,5,66,"Thanwala, Rajasthan",090015 93222,
"Famous Pan Palace tour and travels Sikar, Rajasthan",27.6157256,75.1323781,Store,4.1,24,"Sikar, Rajasthan",,
"New Maharaja Gem Palace Jaipur, Rajasthan",26.9238422,75.8273282,Jewelry store,5,63,"Jaipur, Rajasthan",099503 02040,Delivery
"Great Eastern Trading Co Ajmer (Delivery over phone) Ajmer, Rajasthan",26.4882611,74.6295308,Electronics store,4.2,313,"Ajmer, Rajasthan",091666 50823,"In-store shopping,In-store pick-up"
"Rajasthan Haat Bazar Jaipur, Rajasthan",26.9299351,75.8196894,Clothing store,2.7,12,"Jaipur, Rajasthan",096609 77803,Delivery
"Kanji Sweets And Chat Bhandar Nagaur, Rajasthan",27.1909158,73.7401211,Fast Food,4.2,204,"Nagaur, Rajasthan",,
"Rajasthan Small Scale Cottage Industries Jaipur, Rajasthan",26.989928,75.8526017,Craft store,4,1500,"Jaipur, Rajasthan",,Delivery
"Vishal Mega Mart Ajmer, Rajasthan",26.4573175,74.6459337,Hypermarket,3.8,2300,"Ajmer, Rajasthan",0124 455 5100,
"Shree Rajasthan Sweets & Namkeen Ajmer, Rajasthan",26.4575663,74.6357455,Sweet shop,4.1,167,"Ajmer, Rajasthan",0145 242 4127,
"Shree Ganesham Kuchaman City, Rajasthan",27.149106,74.8607185,Clothing store,5,216,"Kuchaman City, Rajasthan",099821 24557,"In-store shopping,Kerbside pickup"
"Kesar Ajmer, Rajasthan",26.471498,74.6073463,Restaurant,4.1,1400,"Ajmer, Rajasthan",098296 51555,
"Ayushman Bhava: Ajmer, Rajasthan",26.463914,74.6040754,Clothing store,5,21,"Ajmer, Rajasthan",,
"Souvenir shop Jaipur, Rajasthan",26.9028722,75.7928519,Store,,,"Jaipur, Rajasthan",099509 22555,
"Pt. Badri Narayan Prasad Sweets Pvt. Ltd. Ajmer, Rajasthan",26.4604265,74.627903,Fast Food,4.3,145,"Ajmer, Rajasthan",086969 79700,
"Nandesh Sweets Sikar, Rajasthan",27.6108423,75.1388587,Indian sweets shop,4.4,44,"Sikar, Rajasthan",093141 12569,Delivery
"GOTHWAL ART Udaipur, Rajasthan",24.5801956,73.6830162,Paintings store,4.9,98,"Udaipur, Rajasthan",096802 80701,"In-store shopping,Delivery"
"Mugal fashions wear Bay, Rajasthan",27.0238036,74.2179326,Clothing store,5,1,"Bay, Rajasthan",,
"Manoj Kirana Store Kyamsar, Rajasthan",27.4188516,74.8431759,Grocery store,4.6,11,"Kyamsar, Rajasthan",,"In-store shopping,Delivery"
"JUTTI UDYOG Nagaur, Rajasthan",27.2001929,73.7405589,Shoe store,5,171,"Nagaur, Rajasthan",,
"Rasgulla House Ladnun, Rajasthan",27.6418522,74.3960493,Sweet shop,4.6,105,"Ladnun, Rajasthan",098751 85232,
"Rajasthan Readymade Store Jodhpur, Rajasthan",26.2932329,73.016705,Clothing store,5,3,"Jodhpur, Rajasthan",0291 244 0506,In-store shopping
"Little Armani (Tailor Shop) Udaipur, Rajasthan",24.5800694,73.6833247,Clothing store,4.8,281,"Udaipur, Rajasthan",098297 02686,On-site services
"Attari Store Basni, Rajasthan",27.1700478,73.6441628,Stationery store,4.2,10,"Basni, Rajasthan",077377 22653,"In-store shopping,Delivery"
"Shree Krishnam Home Store Sikar, Rajasthan",27.6213085,75.1577304,Food court,3.9,398,"Sikar, Rajasthan",078777 15679,
"Kaka Fancy Store Ajmer, Rajasthan",26.4635172,74.6311401,Dairy store,3.8,24,"Ajmer, Rajasthan",094139 50236,In-store shopping
"Gangaram Amarchand Halwai ( G.A.H. Sweets ) Ajmer, Rajasthan",26.4615462,74.63151,Indian sweets shop,4.4,92,"Ajmer, Rajasthan",0145 242 4601,
"Kaku Pan Palace Fatehpur, Rajasthan",27.9991975,74.9617934,Store,3.5,4,"Fatehpur, Rajasthan",,
"Shri Mishrilal Hotel Jodhpur, Rajasthan",26.2943029,73.0243852,Indian sweets shop,4.4,939,"Jodhpur, Rajasthan",098290 58782,
"Mittal Garments Jaipur, Rajasthan",26.9029357,75.7753645,Clothing store,4,295,"Jaipur, Rajasthan",,Delivery
"Funky Monkey Cafe Pushkar, Rajasthan",26.4894482,74.5568226,Cafe,4.3,271,"Pushkar, Rajasthan",098298 73439,
"Teatro Dhora Jaipur, Rajasthan",26.911073,75.7854259,Clothing store,3.8,97,"Jaipur, Rajasthan",0141 403 7729,Delivery
"Rajasthani Market Kumbhalgarh, Rajasthan",25.1341945,73.5755784,Shopping mall,5,5,"Kumbhalgarh, Rajasthan",,
"Ramcharan Shrikalyan Ajmer, Rajasthan",26.4511874,74.6351886,Indian grocery store,4.4,73,"Ajmer, Rajasthan",078000 00321,
"Manju Fruits And Vegetable Store Ajmer, Boraj Kazipura, Rajasthan",26.4608755,74.6058784,Fruit and vegetable store,4.1,180,"Ajmer, Boraj Kazipura, Rajasthan",063754 09638,"In-store shopping,Delivery"
"National Sports Ajmer, Rajasthan",26.450221,74.6389731,Sporting goods store,4.1,353,"Ajmer, Rajasthan",,Delivery
"Alchemist Coffee Company Ajmer, Rajasthan",26.4676412,74.6482094,Cafe,4.3,1500,"Ajmer, Rajasthan",088268 29280,
"Sanwariya Saree Nagaur, Rajasthan",27.2011336,73.7383505,Clothing store,4.7,17,"Nagaur, Rajasthan",075685 89696,"In-store shopping,Delivery"
"Goruji Ki Dukan Sujangarh, Rajasthan",27.7141045,74.4633546,Store,3.9,14,"Sujangarh, Rajasthan",086962 80076,
"Cafe Lake View Best Pizza and Multicuisine Restaurant | Top Coffee Cafe in Pushkar Pushkar, Rajasthan",26.4891743,74.5540154,Restaurant,4.2,931,"Pushkar, Rajasthan",094137 81380,
"Saleem chohan general Store Ladnun, Rajasthan",27.6401082,74.4038417,Indian grocery store,5,1,"Ladnun, Rajasthan",,
"Stylish Youth - Kapde ki shop in Bidiyad - Best clothe Shop in Bidiyad - Bidiyad Bidiyad, Rajasthan",26.9690555,74.6962359,Clothing store,,,"Bidiyad, Rajasthan",,
"Rastogi And Rastogi Ajmer, Rajasthan",26.4619458,74.6380465,Stationery store,4.3,195,"Ajmer, Rajasthan",0145 263 2151,
"Shree New Bhawani Mishthan Bhandar Merta, Rajasthan",26.6448392,74.0190038,Sweet shop,4.2,36,"Merta, Rajasthan",094144 48450,
"Ramjivan Ji Gediya Merta, Rajasthan",26.6467488,74.0321224,Sweet shop,4.6,82,"Merta, Rajasthan",098299 31740,
"RUDRAKSHA THA FAISHION MALL Bali, Rajasthan",25.1909534,73.2853768,Clothing store,,,"Bali, Rajasthan",,
"Selection Home Kishangarh, Rajasthan",26.5867872,74.8592678,Gift shop,3.5,22,"Kishangarh, Rajasthan",094144 35271,
"Cine Mall Ajmer, Rajasthan",26.4807783,74.6312489,Shopping mall,4,3800,"Ajmer, Rajasthan",0145 242 9009,On-site services
"Jaisalmer Fort Jaisalmer, Rajasthan",26.9124555,70.9126093,Historical landmark,4.4,58000,"Jaisalmer, Rajasthan",,
"Marwad Sweets Home Kuchera, Rajasthan",26.9826713,73.9668307,Sweet shop,4,26,"Kuchera, Rajasthan",,
"Kailash Misthan Bhandar (K.M.B.) Khatu Khurd, Rajasthan",27.1583824,74.3474103,Restaurant,4.2,69,"Khatu Khurd, Rajasthan",094689 53595,"Dine-in,Drive-through"
"Dayal Book Depot Ajmer, Rajasthan",26.4586451,74.633464,Book store,4,1700,"Ajmer, Rajasthan",,"In-store shopping,In-store pick-up"
"Bhagwati Famous Beawar, Rajasthan",26.1045124,74.3211082,Supermarket,,,"Beawar, Rajasthan",063772 50505,Delivery
"Shankar Chaat Ajmer, Rajasthan",26.4604901,74.632558,Restaurant,4.2,1300,"Ajmer, Rajasthan",,
Jaipur Woodblock Printing- Jaipur Rajasthan (INDIA) Rajasthan,26.8037472,75.787302,Manufacturer,4.8,35,Rajasthan,097990 32222,
"Gangaur Foods Pizza Point Ajmer, Rajasthan",26.4647354,74.6389464,Fast Food,3.9,1000,"Ajmer, Rajasthan",098290 70390,
"Rajasthan opticals Ajmer, Rajasthan",26.4625051,74.6384071,Sunglasses store,4.5,24,"Ajmer, Rajasthan",098286 44884,"In-store shopping,Delivery"
"Chidawa Kulfi Sikar, Rajasthan",27.6147262,75.1408614,Ice Cream,4.1,113,"Sikar, Rajasthan",099298 73095,
"The City Palace Jaipur, Rajasthan",26.9257943,75.8236714,Historical place,4.4,53000,"Jaipur, Rajasthan",0141 408 8888,
"Hawa Mahal Jaipur, Rajasthan",26.9240458,75.8267144,Castle,4.5,140000,"Jaipur, Rajasthan",0141 261 8033,
"Sind Furniture House Ajmer, Rajasthan",26.4598261,74.6365109,Furniture store,3.6,35,"Ajmer, Rajasthan",0145 263 0109,
"Pareek Sweets & Namkeen Badu Badoo, Rajasthan",26.906575,74.5937109,Restaurant,4.3,16,"Badoo, Rajasthan",,"Dine-in,Drive-through"
"New Rajasthan Sale Counter Jaipur, Rajasthan",26.9205008,75.7957262,Craft store,3.5,36,"Jaipur, Rajasthan",,
"Khatri Kirana Store Rol, Rajasthan",27.1653938,73.929564,Grocery store,5,1,"Rol, Rajasthan",,
"MUNDEL GENERAL & KIRANA STORE Mundwa, Rajasthan",27.0670497,73.8198058,General store,5,5,"Mundwa, Rajasthan",096023 32007,In-store shopping
"Honey & Spice Pushkar, Rajasthan",26.4897228,74.5546885,Cafe,4.7,419,"Pushkar, Rajasthan",094132 47156,Takeaway
"Bhagwati Famous Chandra Prakash Ajmer, Rajasthan",26.1046399,74.3210761,Bakery and Cake Shop,,,"Ajmer, Rajasthan",072979 26997,
"Famous suit Udaipur, Rajasthan",24.5815466,73.6892755,Shopping mall,5,1,"Udaipur, Rajasthan",,
"Famous Shop In Sikar Sikar, Rajasthan",27.6059238,75.1692617,Shopping mall,,,"Sikar, Rajasthan",,
"Rajasthan Craft Plaza Jaipur, Rajasthan",26.9226457,75.7994278,Clothing store,4.2,9,"Jaipur, Rajasthan",0141 401 5474,
"New Famous Cut Piece Store Jodhpur, Rajasthan",26.294842,73.0216009,Men's clothing store,,,"Jodhpur, Rajasthan",093524 36721,
"Shree Nath Jee kirana store Jawla, Rajasthan",26.7836615,74.4371541,General store,4.3,16,"Jawla, Rajasthan",,
"Shri Gajanand Gulabchand Halwai Ajmer, Rajasthan",26.4605228,74.6295511,Sweet shop,4.5,50,"Ajmer, Rajasthan",0145 242 0040,
"Inder Swami All Things Shop Jhariya, Rajasthan",28.4108533,74.9319312,Grocery store,5,2,"Jhariya, Rajasthan",099505 14324,
"Top Shop Jaipur, Rajasthan",26.9160618,75.8224342,Clothing store,3,1,"Jaipur, Rajasthan",077374 32402,
"Famous Tea stall Ajmer, Rajasthan",26.5166222,74.6309377,Coffee shop,5,1,"Ajmer, Rajasthan",,
"APNA FAMOUS COLLECTION Umarda, Rajasthan",24.5159668,73.777387,Clothing store,,,"Umarda, Rajasthan",096809 65612,
"Mahavir Ji Pede Wala Nagaur, Rajasthan",27.2029144,73.7361183,Sweet shop,4.5,13,"Nagaur, Rajasthan",,
"Hariom famous icecream wale Ajmer, Rajasthan",26.4303236,74.6369766,Ice Cream,5,1,"Ajmer, Rajasthan",,
"Anuradha Pan Bhandar (Mool Ji Pan Wale) Sikar, Rajasthan",27.6095615,75.1387372,Tobacco shop,3.4,9,"Sikar, Rajasthan",094602 38731,
"Ishaq chohan general Store Ladnun, Rajasthan",27.6398925,74.3971558,Indian grocery store,5,1,"Ladnun, Rajasthan",,
"LOVELY PAN BHANDAR Makrana, Rajasthan",27.0223629,74.6739165,Store,5,7,"Makrana, Rajasthan",,
"Ishwar General Store Ajmer, Rajasthan",26.4927426,74.6286152,General store,4.5,6,"Ajmer, Rajasthan",097722 87297,
"Mahalaxmi Misthan Bhandhaar Chhoti Khatu Khatu Khurd, Rajasthan",27.1578754,74.3467237,Sweet shop,4.2,15,"Khatu Khurd, Rajasthan",091662 81008,
mangal market(clothes item mostly) Old Vegetable Market,20.4175719,72.8335304,Clothing store,4.1,76,Old Vegetable Market,,"In-store shopping,Delivery"
"Asgarali Collection (Men's Wear, Electronics, Cosmetics, Crockery, Bags, Watches, Household Items), police stations, MAHARAJA MARKET SHOP 2, Kavi Khabardar Rd, opp. daman",20.4168119,72.8336326,Men's clothing store,4.8,98,"police stations, MAHARAJA MARKET SHOP 2, Kavi Khabardar Rd, opp. daman",,
"Shubhdra shopee Old Vegetable Market, Kavi Khabardar Rd",20.4169156,72.8353721,Market,4,1300,"Old Vegetable Market, Kavi Khabardar Rd",,In-store shopping
"KILLER FACTORY OUTLET Opp.Govt. Circuit House,Sea Face Road, Nani Daman.",20.417485,72.829681,Clothing store,4,755,"Opp.Govt. Circuit House,Sea Face Road, Nani Daman.",076988 51888,Delivery
"Oxemberg factory outlet Daman siyaram silk mills Ltd plant, Dabhel, 722, somnath rode, opp. lalji mulji",20.4011496,72.8921617,Outlet store,4,232,"siyaram silk mills Ltd plant, Dabhel, 722, somnath rode, opp. lalji mulji",,"In-store shopping,In-store pick-up"
"Krishna Sweets - Farsan & Nastha Centre Shop.No-LG8, Daman - Kunta Rd",20.4198571,72.836689,Sweet shop,4,121,"Shop.No-LG8, Daman - Kunta Rd",,"In-store shopping,Delivery"
Jamnagari Sweets & Farsan Mart Zapabar Main Rd,20.4178094,72.8350163,Sweet shop,4.1,24,Zapabar Main Rd,,In-store pick-up
TRIBHOVAN STORE Zapabar Main Rd,20.4176144,72.8363318,Supermarket,4.3,59,Zapabar Main Rd,078787 79031,"In-store shopping,In-store pick-up"
"D mart Gulab bhai ki building, Somnath - Kachhigam Rd",20.4060508,72.8777637,Hypermarket,4.1,7500,"Gulab bhai ki building, Somnath - Kachhigam Rd",,
"Dwarkadhish Collection Shop No. 3, Opposite Union Bank Teen Batti Road, K. K. Marg, near Vishwakarma Temple",18.9471796,72.7946772,Men's clothing store,4.9,17,"Shop No. 3, Opposite Union Bank Teen Batti Road, K. K. Marg, near Vishwakarma Temple",097275 76898,In-store shopping
"Heavenly cakes- Best cake shop in daman Daman, Dadra and Nagar Haveli and Daman and Diu",20.4197645,72.8332347,Cake shop,4.5,36,"Daman, Dadra and Nagar Haveli and Daman and Diu",097265 82554,"In-store pick-up,Delivery"
"Atul Bakery | Mashal Chowk | Daman G-3, Dhanhari Aprt, Near Mashal Chock",20.4214005,72.8402446,Bakery and Cake Shop,4.2,641,"G-3, Dhanhari Aprt, Near Mashal Chock",090990 53966,
"Dunetha Mart Shop no 3, Vinayak A building, Near Holy Trinity High School",20.4267761,72.8470073,Grocery store,4.4,42,"Shop no 3, Vinayak A building, Near Holy Trinity High School",079771 82798,"In-store shopping,In-store pick-up"
"Party Prop Shop & Gift Centre Shop No 4, Noor Complex, Luhar Faliya Road Near Satyanarayan Temple, Tin Batti",20.4222709,72.8301306,Gift shop,5,13,"Shop No 4, Noor Complex, Luhar Faliya Road Near Satyanarayan Temple, Tin Batti",089809 41175,"In-store shopping,Delivery"
"EMERGE DAMAN Hotel Ashoka, opp. Devka Beach Road",20.3973736,72.8327991,Clothing Accessories Store,4.5,33,"Hotel Ashoka, opp. Devka Beach Road",,"In-store shopping,Delivery"
"SAI SWEETS 5/180, Bhitwadi Road, near pwd office and police out post, near police out post",19.0960655,72.9007495,Sweet shop,4.9,16,"5/180, Bhitwadi Road, near pwd office and police out post, near police out post",,
"Kerala Store Daman, Dadra and Nagar Haveli and Daman and Diu",20.4182937,72.8377391,Indian grocery store,4.5,14,"Daman, Dadra and Nagar Haveli and Daman and Diu",,"In-store shopping,Delivery"
"Dell Exclusive Store - Daman 2, Chhiba Complex, Daman - Kunta Rd, near Sagar Petrol Pump",20.4202168,72.8368656,Computer store,4.2,109,"2, Chhiba Complex, Daman - Kunta Rd, near Sagar Petrol Pump",080 4702 7396,"In-store shopping,In-store pick-up"
"New Saifee Coldrinks Besides Vaibhav Stationary, Teen batti Road, opp. Madras Cafe",18.9471796,72.7946772,Ice Cream,4.9,43,"Besides Vaibhav Stationary, Teen batti Road, opp. Madras Cafe",084699 40352,"In-store shopping,Kerbside pickup"
